"SK_ID_PREV","SK_ID_CURR","NAME_CONTRACT_TYPE","AMT_ANNUITY","AMT_APPLICATION","AMT_CREDIT","AMT_DOWN_PAYMENT","AMT_GOODS_PRICE","WEEKDAY_APPR_PROCESS_START","HOUR_APPR_PROCESS_START","FLAG_LAST_APPL_PER_CONTRACT","NFLAG_LAST_APPL_IN_DAY","RATE_DOWN_PAYMENT","RATE_INTEREST_PRIMARY","RATE_INTEREST_PRIVILEGED","NAME_CASH_LOAN_PURPOSE","NAME_CONTRACT_STATUS","DAYS_DECISION","NAME_PAYMENT_TYPE","CODE_REJECT_REASON","NAME_TYPE_SUITE","NAME_CLIENT_TYPE","NAME_GOODS_CATEGORY","NAME_PORTFOLIO","NAME_PRODUCT_TYPE","CHANNEL_TYPE","SELLERPLACE_AREA","NAME_SELLER_INDUSTRY","CNT_PAYMENT","NAME_YIELD_GROUP","PRODUCT_COMBINATION","DAYS_FIRST_DRAWING","DAYS_FIRST_DUE","DAYS_LAST_DUE_1ST_VERSION","DAYS_LAST_DUE","DAYS_TERMINATION","NFLAG_INSURED_ON_APPROVAL"
1189722,100387,"Consumer loans",14871.825,132300,146272.5,0,132300,"SUNDAY",12,"Y",1,0,NA,NA,"XAP","Approved",-110,"Cash through the bank","XAP","Spouse, partner","Repeater","Audio/Video","POS","XNA","Stone",10,"Connectivity",12,"middle","POS mobile with interest",365243,-80,250,365243,365243,1
1874254,100293,"Revolving loans",6750,135000,135000,NA,135000,"WEDNESDAY",11,"Y",1,NA,NA,NA,"XAP","Approved",-229,"XNA","XAP","Family","Repeater","XNA","Cards","x-sell","Credit and cash offices",-1,"XNA",0,"XNA","Card X-Sell",365243,365243,365243,365243,365243,0
1339797,100035,"Cash loans",NA,0,0,NA,NA,"FRIDAY",14,"Y",1,NA,NA,NA,"XNA","Refused",-138,"XNA","HC","","Repeater","XNA","XNA","XNA","Credit and cash offices",0,"XNA",NA,"XNA","Cash",NA,NA,NA,NA,NA,NA
1185699,100043,"Consumer loans",5287.815,35775,33340.5,4500,35775,"MONDAY",11,"Y",1,0.129514913674742,NA,NA,"XAP","Approved",-2411,"Cash through the bank","XAP","Family","New","Mobile","POS","XNA","Country-wide",44,"Connectivity",8,"low_normal","POS mobile with interest",365243,-2380,-2170,-2170,-2167,1
2475428,100831,"Consumer loans",NA,88726.5,88726.5,0,88726.5,"MONDAY",13,"Y",1,0,NA,NA,"XAP","Refused",-1104,"Cash through the bank","XNA","","Repeater","Mobile","XNA","XNA","Country-wide",40,"Connectivity",NA,"XNA","POS mobile with interest",NA,NA,NA,NA,NA,NA
1119386,100548,"Cash loans",NA,0,0,NA,NA,"THURSDAY",11,"Y",1,NA,NA,NA,"XNA","Canceled",-300,"XNA","XAP","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Cash",NA,NA,NA,NA,NA,NA
1667953,100548,"Cash loans",10463.22,90000,95940,NA,90000,"FRIDAY",10,"Y",1,NA,NA,NA,"XNA","Approved",-1209,"Cash through the bank","XAP","Unaccompanied","Repeater","XNA","Cash","x-sell","Credit and cash offices",-1,"XNA",12,"middle","Cash X-Sell: middle",365243,-1179,-849,-939,-926,1
1413109,100009,"Consumer loans",8996.76,98239.5,98239.5,0,98239.5,"SATURDAY",18,"Y",1,0,NA,NA,"XAP","Approved",-449,"Cash through the bank","XAP","","Repeater","Consumer Electronics","POS","XNA","Regional / Local",164,"Consumer electronics",12,"low_action","POS household without interest",365243,-418,-88,-88,-84,0
1370544,100144,"Cash loans",10698.075,157500,157500,NA,157500,"TUESDAY",16,"Y",1,NA,NA,NA,"XNA","Approved",-100,"Cash through the bank","XAP","Unaccompanied","Repeater","XNA","Cash","x-sell","Credit and cash offices",-1,"XNA",18,"low_normal","Cash X-Sell: low",365243,-70,440,365243,365243,0
2053202,100530,"Consumer loans",4336.29,86526,96255,0,86526,"MONDAY",15,"Y",1,0,NA,NA,"XAP","Approved",-268,"Cash through the bank","XAP","Family","New","Audio/Video","POS","XNA","Country-wide",2148,"Consumer electronics",24,"low_action","POS household without interest",365243,-238,452,365243,365243,1
1550165,100271,"Cash loans",48698.595,1129500,1227901.5,NA,1129500,"WEDNESDAY",11,"Y",1,NA,NA,NA,"XNA","Approved",-950,"Cash through the bank","XAP","Unaccompanied","Repeater","XNA","Cash","x-sell","Credit and cash offices",0,"XNA",36,"low_normal","Cash X-Sell: low",365243,-920,130,-620,-617,1
1205384,100851,"Consumer loans",9305.145,47965.5,50499,0,47965.5,"FRIDAY",15,"Y",1,0,NA,NA,"XAP","Approved",-344,"Cash through the bank","XAP","","Refreshed","Consumer Electronics","POS","XNA","Regional / Local",0,"Consumer electronics",6,"middle","POS household with interest",365243,-313,-163,-163,-160,0
2117048,100121,"Consumer loans",3551.85,18441,17419.5,1845,18441,"SATURDAY",12,"Y",1,0.104304431844726,NA,NA,"XAP","Approved",-1987,"Cash through the bank","XAP","Unaccompanied","Repeater","Mobile","POS","XNA","Stone",21,"Connectivity",6,"high","POS mobile with interest",365243,-1951,-1801,-1801,-1769,0
1151890,100785,"Cash loans",13608,112500,134883,NA,112500,"FRIDAY",7,"Y",1,NA,NA,NA,"XNA","Approved",-1541,"Cash through the bank","XAP","Unaccompanied","Repeater","XNA","Cash","x-sell","Credit and cash offices",-1,"XNA",12,"middle","Cash X-Sell: middle",365243,-1511,-1181,-1211,-1203,1
1858047,100478,"Revolving loans",13500,270000,270000,NA,270000,"MONDAY",16,"Y",1,NA,NA,NA,"XAP","Refused",-403,"XNA","HC","Unaccompanied","Repeater","XNA","Cards","x-sell","Credit and cash offices",-1,"XNA",0,"XNA","Card X-Sell",NA,NA,NA,NA,NA,NA
2274942,100170,"Cash loans",NA,0,0,NA,NA,"THURSDAY",10,"Y",1,NA,NA,NA,"XNA","Canceled",-334,"XNA","XAP","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Cash",NA,NA,NA,NA,NA,NA
2202766,100709,"Consumer loans",5133.915,54634.5,54634.5,0,54634.5,"THURSDAY",14,"Y",1,0,NA,NA,"XAP","Approved",-147,"Cash through the bank","XAP","Unaccompanied","Repeater","Audio/Video","POS","XNA","Country-wide",1000,"Consumer electronics",12,"low_action","POS household without interest",365243,-116,214,365243,365243,0
2690664,100867,"Cash loans",42180.48,225000,232425,NA,225000,"MONDAY",4,"Y",1,NA,NA,NA,"XNA","Approved",-213,"Cash through the bank","XAP","Unaccompanied","Repeater","XNA","Cash","x-sell","Credit and cash offices",-1,"XNA",6,"low_normal","Cash X-Sell: low",365243,-183,-33,-63,-60,1
2453786,100580,"Revolving loans",NA,0,0,NA,NA,"WEDNESDAY",19,"Y",1,NA,NA,NA,"XAP","Canceled",-295,"XNA","XAP","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Card Street",NA,NA,NA,NA,NA,NA
2707039,100896,"Cash loans",25547.535,405000,470488.5,NA,405000,"THURSDAY",15,"Y",1,NA,NA,NA,"XNA","Approved",-722,"Cash through the bank","XAP","","Repeater","XNA","Cash","x-sell","Credit and cash offices",-1,"XNA",42,"high","Cash X-Sell: high",365243,-692,538,-452,-446,1
1326335,100451,"Cash loans",18595.26,202500,222547.5,0,202500,"TUESDAY",11,"Y",1,0,NA,NA,"XNA","Approved",-1649,"Cash through the bank","XAP","Children","Repeater","XNA","Cash","x-sell","Credit and cash offices",-1,"XNA",18,"high","Cash X-Sell: high",365243,-1619,-1109,-1229,-1224,1
2292599,100902,"Consumer loans",18328.455,149949,163210.5,0,149949,"WEDNESDAY",11,"Y",1,0,NA,NA,"XAP","Approved",-1806,"Cash through the bank","XAP","Unaccompanied","Repeater","Clothing and Accessories","POS","XNA","Stone",61,"Clothing",12,"high","POS industry with interest",365243,-1775,-1445,-1445,-1438,0
2001242,100007,"Cash loans",16509.6,180000,180000,NA,180000,"SUNDAY",14,"Y",1,NA,NA,NA,"XNA","Approved",-865,"Cash through the bank","XAP","Unaccompanied","Repeater","XNA","Cash","walk-in","Regional / Local",1200,"Consumer electronics",18,"high","Cash Street: high",365243,-834,-324,-354,-347,0
2190260,100674,"Cash loans",11341.26,157500,203139,NA,157500,"THURSDAY",8,"Y",1,NA,NA,NA,"XNA","Approved",-1436,"Cash through the bank","XAP","Unaccompanied","Repeater","XNA","Cash","x-sell","Credit and cash offices",-1,"XNA",24,"low_normal","Cash X-Sell: low",365243,-1406,-716,-1196,-1188,1
1062722,100873,"Revolving loans",2250,45000,45000,NA,45000,"TUESDAY",19,"Y",1,NA,NA,NA,"XAP","Approved",-339,"XNA","XAP","Unaccompanied","Repeater","XNA","Cards","walk-in","Country-wide",100,"Consumer electronics",0,"XNA","Card Street",365243,365243,365243,365243,365243,0
2574979,100956,"Consumer loans",4390.425,20155.5,21528,2016,20155.5,"MONDAY",11,"Y",1,0.0932554906866834,NA,NA,"XAP","Approved",-645,"Cash through the bank","XAP","Other_B","Repeater","Mobile","POS","XNA","Country-wide",30,"Connectivity",6,"high","POS mobile with interest",365243,-612,-462,-552,-547,0
1086561,100662,"Consumer loans",18228.015,87655.5,68593.5,22500,87655.5,"FRIDAY",17,"Y",1,0.269004324727291,NA,NA,"XAP","Approved",-95,"Cash through the bank","XAP","Unaccompanied","Repeater","Computers","POS","XNA","Country-wide",560,"Consumer electronics",4,"low_normal","POS mobile with interest",365243,-68,25,-68,-65,1
1993128,100254,"Cash loans",NA,0,0,NA,NA,"SATURDAY",9,"Y",1,NA,NA,NA,"XNA","Canceled",-307,"XNA","XAP","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Cash",NA,NA,NA,NA,NA,NA
1615263,100614,"Consumer loans",NA,69705,69705,0,69705,"TUESDAY",15,"Y",1,0,NA,NA,"XAP","Unused offer",-563,"Cash through the bank","CLIENT","","New","Mobile","XNA","XNA","Country-wide",50,"Connectivity",NA,"XNA","POS mobile with interest",NA,NA,NA,NA,NA,NA
1741479,100169,"Cash loans",NA,0,0,NA,NA,"TUESDAY",14,"Y",1,NA,NA,NA,"XNA","Refused",-434,"XNA","HC","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Cash",NA,NA,NA,NA,NA,NA
2825235,100894,"Consumer loans",7867.17,171544.5,171544.5,0,171544.5,"SUNDAY",12,"Y",1,0,NA,NA,"XAP","Approved",-1502,"Cash through the bank","XAP","Family","New","Computers","POS","XNA","Country-wide",6900,"Consumer electronics",24,"low_action","POS household without interest",365243,-1470,-780,-900,-893,0
1775409,100536,"Consumer loans",3222.45,26325,23625,4500,26325,"FRIDAY",8,"Y",1,0.174254545454545,NA,NA,"XAP","Approved",-1964,"Cash through the bank","XAP","Family","Repeater","Mobile","POS","XNA","Stone",15,"Connectivity",10,"high","POS mobile with interest",365243,-1923,-1653,-1653,-1647,0
2444845,100090,"Cash loans",16681.95,472500,566055,NA,472500,"THURSDAY",13,"Y",1,NA,NA,NA,"XNA","Approved",-232,"Cash through the bank","XAP","Unaccompanied","Repeater","XNA","Cash","x-sell","Credit and cash offices",-1,"XNA",60,"low_normal","Cash X-Sell: low",365243,-202,1568,365243,365243,1
1753483,100421,"Cash loans",NA,0,0,NA,NA,"TUESDAY",15,"Y",1,NA,NA,NA,"XNA","Canceled",-376,"XNA","XAP","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Cash",NA,NA,NA,NA,NA,NA
2571217,100937,"Consumer loans",7276.275,40050,40050,0,40050,"FRIDAY",11,"Y",1,0,NA,NA,"XAP","Approved",-383,"Cash through the bank","XAP","","New","Homewares","POS","XNA","Stone",100,"Construction",6,"middle","POS industry with interest",365243,-352,-202,-202,-199,0
1229203,100485,"Revolving loans",45000,810000,9e+05,NA,810000,"MONDAY",12,"N",1,NA,NA,NA,"XAP","Refused",-428,"XNA","HC","","Repeater","XNA","Cards","x-sell","Credit and cash offices",0,"XNA",0,"XNA","Card X-Sell",NA,NA,NA,NA,NA,NA
2452264,100710,"Consumer loans",10515.24,169884,124884,45000,169884,"WEDNESDAY",16,"Y",1,0.288485619064131,NA,NA,"XAP","Refused",-2383,"Cash through the bank","SCO","Spouse, partner","New","Audio/Video","POS","XNA","Country-wide",800,"Consumer electronics",18,"high","POS household with interest",NA,NA,NA,NA,NA,NA
2070251,100226,"Consumer loans",13315.905,95395.5,72009,27000,95395.5,"SUNDAY",17,"Y",1,0.296997793589013,NA,NA,"XAP","Approved",-142,"Cash through the bank","XAP","Family","Repeater","Audio/Video","POS","XNA","Country-wide",2400,"Consumer electronics",6,"middle","POS household with interest",365243,-110,40,365243,365243,0
2474874,100920,"Consumer loans",5086.935,39141,38133,3915,39141,"THURSDAY",14,"Y",1,0.101402942092154,NA,NA,"XAP","Approved",-2423,"Cash through the bank","XAP","Family","Repeater","Audio/Video","POS","XNA","Country-wide",600,"Consumer electronics",10,"low_normal","POS household with interest",365243,-2373,-2103,-2163,-2161,1
2619717,100856,"Consumer loans",6088.14,71955,83353.5,0,71955,"THURSDAY",15,"Y",1,0,NA,NA,"XAP","Refused",-355,"Cash through the bank","LIMIT","","Repeater","Consumer Electronics","POS","XNA","Regional / Local",70,"Consumer electronics",18,"middle","POS household with interest",NA,NA,NA,NA,NA,NA
2430568,100396,"Consumer loans",1566.45,17055,16402.5,2565,17055,"MONDAY",11,"Y",1,0.147279197670657,NA,NA,"XAP","Approved",-2049,"Cash through the bank","XAP","Unaccompanied","New","Audio/Video","POS","XNA","Country-wide",109,"Consumer electronics",16,"high","POS household with interest",365243,-2018,-1568,-1688,-1686,0
1679603,100310,"Consumer loans",7364.385,147582,62649,90000,147582,"THURSDAY",5,"Y",1,0.642114798119751,NA,NA,"XAP","Refused",-553,"Cash through the bank","LIMIT","","Repeater","Audio/Video","POS","XNA","Country-wide",1375,"Consumer electronics",10,"middle","POS household with interest",NA,NA,NA,NA,NA,NA
2649049,100256,"Cash loans",NA,0,0,NA,NA,"WEDNESDAY",11,"Y",1,NA,NA,NA,"XNA","Refused",-322,"XNA","HC","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Cash",NA,NA,NA,NA,NA,NA
2808320,100734,"Cash loans",NA,0,0,NA,NA,"MONDAY",13,"Y",1,NA,NA,NA,"XNA","Canceled",-395,"XNA","XAP","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Cash",NA,NA,NA,NA,NA,NA
1786569,100434,"Revolving loans",27000,0,540000,NA,NA,"MONDAY",18,"Y",1,NA,NA,NA,"XAP","Refused",-842,"XNA","HC","","Refreshed","XNA","Cards","x-sell","Credit and cash offices",-1,"XNA",0,"XNA","Card X-Sell",NA,NA,NA,NA,NA,NA
1229409,100631,"Consumer loans",13211.55,120105,120105,0,120105,"WEDNESDAY",15,"Y",1,0,NA,NA,"XAP","Approved",-552,"Cash through the bank","XAP","","Repeater","Furniture","POS","XNA","Stone",500,"Furniture",10,"low_normal","POS industry with interest",365243,-520,-250,-370,-340,0
1441784,100892,"Cash loans",37763.55,360000,376632,NA,360000,"MONDAY",13,"Y",1,NA,NA,NA,"XNA","Approved",-746,"Cash through the bank","XAP","Unaccompanied","Refreshed","XNA","Cash","x-sell","Credit and cash offices",-1,"XNA",12,"middle","Cash X-Sell: middle",365243,-716,-386,-506,-502,1
1476081,100072,"Cash loans",NA,0,0,NA,NA,"THURSDAY",10,"Y",1,NA,NA,NA,"XNA","Canceled",-124,"XNA","XAP","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Cash",NA,NA,NA,NA,NA,NA
1527932,100594,"Cash loans",8793,315000,315000,NA,315000,"THURSDAY",6,"Y",1,NA,NA,NA,"Repairs","Refused",-20,"Cash through the bank","HC","Unaccompanied","Repeater","XNA","Cash","walk-in","Channel of corporate sales",-1,"XNA",60,"low_normal","Cash Street: low",NA,NA,NA,NA,NA,NA
1287643,100803,"Consumer loans",2641.185,17325,14544,3465,17325,"SATURDAY",17,"Y",1,0.209545227386307,NA,NA,"XAP","Approved",-2477,"Cash through the bank","XAP","Unaccompanied","Repeater","Furniture","POS","XNA","Stone",10,"Furniture",6,"middle","POS industry with interest",365243,-2445,-2295,-2325,-2315,1
2290249,100360,"Cash loans",14352.93,225000,254700,NA,225000,"MONDAY",8,"Y",1,NA,NA,NA,"XNA","Approved",-101,"Cash through the bank","XAP","Unaccompanied","Refreshed","XNA","Cash","x-sell","Credit and cash offices",-1,"XNA",24,"low_normal","Cash X-Sell: low",365243,-71,619,365243,365243,1
1234373,100517,"Consumer loans",5504.4,50040,50040,0,50040,"THURSDAY",11,"Y",1,0,NA,NA,"XAP","Approved",-790,"Cash through the bank","XAP","","Repeater","Clothing and Accessories","POS","XNA","Country-wide",367,"Clothing",10,"low_normal","POS industry with interest",365243,-757,-487,-697,-689,0
2803085,100540,"Cash loans",17896.545,207000,257134.5,NA,207000,"MONDAY",7,"Y",1,NA,NA,NA,"XNA","Approved",-421,"Cash through the bank","XAP","Unaccompanied","Repeater","XNA","Cash","x-sell","Credit and cash offices",-1,"XNA",18,"low_normal","Cash X-Sell: low",365243,-391,119,365243,365243,1
1513220,100535,"Consumer loans",12193.875,105525,116667,0,105525,"TUESDAY",16,"Y",1,0,NA,NA,"XAP","Approved",-938,"Cash through the bank","XAP","Family","Repeater","Consumer Electronics","POS","XNA","Regional / Local",300,"Consumer electronics",12,"middle","POS household with interest",365243,-906,-576,-576,-562,0
2642465,100605,"Cash loans",16164,450000,450000,NA,450000,"WEDNESDAY",15,"Y",1,NA,NA,NA,"XNA","Approved",-310,"Cash through the bank","XAP","Family","Repeater","XNA","Cash","x-sell","Credit and cash offices",-1,"XNA",48,"low_normal","Cash X-Sell: low",NA,NA,NA,NA,NA,NA
2184878,100598,"Consumer loans",14311.08,76941,81004.5,0,76941,"FRIDAY",12,"Y",1,0,NA,NA,"XAP","Approved",-968,"Cash through the bank","XAP","Unaccompanied","Repeater","Audio/Video","POS","XNA","Country-wide",3303,"Consumer electronics",6,"low_normal","POS household with interest",365243,-936,-786,-786,-775,0
2841846,100291,"Consumer loans",7780.41,49500,41562,9900,49500,"MONDAY",11,"Y",1,0.209513816019587,NA,NA,"XAP","Approved",-1949,"Non-cash from your account","XAP","Group of people","Repeater","Consumer Electronics","POS","XNA","Stone",60,"Furniture",6,"middle","POS industry with interest",365243,-1918,-1768,-1768,-1761,0
1376533,100169,"Consumer loans",8030.52,62950.5,69183,0,62950.5,"MONDAY",13,"Y",1,0,NA,NA,"XAP","Refused",-190,"Cash through the bank","HC","Unaccompanied","Repeater","Consumer Electronics","POS","XNA","Country-wide",800,"Consumer electronics",10,"low_normal","POS household with interest",NA,NA,NA,NA,NA,NA
2094054,100861,"Cash loans",NA,0,0,NA,NA,"FRIDAY",10,"Y",1,NA,NA,NA,"XNA","Canceled",-196,"XNA","XAP","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Cash",NA,NA,NA,NA,NA,NA
2246830,100187,"Consumer loans",20797.56,206982,206982,0,206982,"MONDAY",11,"Y",1,0,NA,NA,"XAP","Approved",-1452,"XNA","XAP","Family","Repeater","Computers","POS","XNA","Country-wide",5000,"Consumer electronics",12,"middle","POS household with interest",365243,-1421,-1091,-1091,-1089,0
1373453,100078,"Cash loans",NA,0,0,NA,NA,"MONDAY",8,"Y",1,NA,NA,NA,"XNA","Canceled",-22,"XNA","XAP","","Repeater","XNA","XNA","XNA","Credit and cash offices",-1,"XNA",NA,"XNA","Cash",NA,NA,NA,NA,NA,NA
1017235,100603,"Consumer loans",5994.225,33466.5,29866.5,3600,33466.5,"FRIDAY",17,"Y",1,0.11715378879558,NA,NA,"XAP","Approved",-2875,"Cash through the bank","XAP","Family","Repeater","Mobile","POS","XNA","Country-wide",40,"Connectivity",6,"low_normal","POS mobile with interest",365243,-2833,-2683,-2683,-2677,0
2704631,100194,"Consumer loans",7861.95,74092.5,74092.5,0,74092.5,"FRIDAY",13,"Y",1,0,NA,NA,"XAP","Approved",-292,"Cash through the bank","XAP","","Repeater","Jewelry","POS","XNA","Country-wide",90,"Jewelry",12,"middle","POS other with interest",365243,-259,71,365243,365243,0
2772902,100220,"Consumer loans",20966.4,108513,113886,0,108513,"THURSDAY",7,"Y",1,0,NA,NA,"XAP","Approved",-2413,"Cash through the bank","XAP","Unaccompanied","New","Other","POS","XNA","Regional / Local",14,"Consumer electronics",6,"middle","POS household with interest",365243,-2382,-2232,-2292,-2284,1
1290256,100539,"Consumer loans",10187.235,89730,83776.5,13500,89730,"TUESDAY",15,"Y",1,0.151143670595953,NA,NA,"XAP","Approved",-2071,"Cash through the bank","XAP","Other_B","Repeater","Mobile","POS","XNA","Country-wide",41,"Connectivity",12,"high","POS mobile with interest",365243,-2040,-1710,-1710,-1702,0
